"bic","subj_id","model","null_adj_bic","subj_id_anon"
2756.01812593623,"786","null_m",0,"1"
2768.1328880791,"786","null_pc_interaction_m",12.1147621428731,"1"
2817.76114483563,"786","pc0time_pc1time_interaction_m",61.7430188993985,"1"
2772.55994905791,"786","pc0_time_interaction_m",16.5418231216809,"1"
2777.09300332337,"786","pc1_time_interaction_m",21.0748773871383,"1"
2818.79352318057,"786","pc01time_interaction_m",62.7753972443402,"1"
2764.57598309342,"787","null_m",0,"2"
2777.83749816582,"787","null_pc_interaction_m",13.2615150723936,"2"
2839.10833066174,"787","pc0time_pc1time_interaction_m",74.532347568314,"2"
2780.63308899518,"787","pc0_time_interaction_m",16.057105901758,"2"
2788.13928438051,"787","pc1_time_interaction_m",23.5633012870844,"2"
2832.9905005144,"787","pc01time_interaction_m",68.4145174209743,"2"
2825.03638882129,"788","null_m",0,"3"
2837.99864069812,"788","null_pc_interaction_m",12.9622518768315,"3"
2897.6705394794,"788","pc0time_pc1time_interaction_m",72.6341506581166,"3"
2849.22391712994,"788","pc0_time_interaction_m",24.1875283086547,"3"
2846.31250239386,"788","pc1_time_interaction_m",21.2761135725705,"3"
2888.28381831793,"788","pc01time_interaction_m",63.2474294966405,"3"
2797.97613734744,"789","null_m",0,"4"
2808.14452402162,"789","null_pc_interaction_m",10.1683866741778,"4"
2841.59472665752,"789","pc0time_pc1time_interaction_m",43.6185893100742,"4"
2851.61448943664,"789","pc0_time_interaction_m",53.6383520892018,"4"
2820.22074817717,"789","pc1_time_interaction_m",22.2446108297249,"4"
2869.06312336849,"789","pc01time_interaction_m",71.0869860210505,"4"
